Strategy,Threshold,Smooth,Persist,WindowPrecision,WindowRecall,WindowF1,WindowFPR,EventRecall,EventFPR,MedianDelaySec,AnomalyEvents,DetectedEvents,FalseAlarmEvents
GLOBAL_PERSIST_3,0.029617823120545266,1,3,0.7116530156366344,0.19626600041070574,0.3076778624315914,0.11439332397902666,0.38636363636363635,0.10843373493975904,-3420.0,88,34,9
GLOBAL_SMOOTH_5,0.029617823120545266,5,1,0.7072569208952463,0.19630022588815113,0.30730694528162883,0.11687960022647269,0.38636363636363635,0.10843373493975904,-3540.0,88,34,9
GLOBAL_PERSIST_2,0.029617823120545266,1,2,0.7096115784265216,0.19633445136559655,0.3075706396439869,0.11557492061147626,0.38636363636363635,0.13253012048192772,-3480.0,88,34,11
GLOBAL_SMOOTH_3,0.029617823120545266,3,1,0.707223865877712,0.19635156410431925,0.3073667291722475,0.11692883341949142,0.38636363636363635,0.13253012048192772,-3540.0,88,34,11
GLOBAL,0.029617823120545266,1,1,0.7072344096623121,0.19640290232048738,0.3074306225222329,0.11695345001600078,0.38636363636363635,0.14457831325301204,-3540.0,88,34,12
ADAPTIVE_90.0_SMOOTH_5,0.08556374907493591,5,1,0.8100225733634312,0.15351837908138818,0.2581174202644186,0.05179331905570736,0.3181818181818182,0.03614457831325301,-3540.0,88,28,3
ADAPTIVE_90.0_SMOOTH_5_PERSIST_2,0.08556374907493591,5,2,0.8117348326834134,0.15317612430693409,0.2577199372327714,0.051104054353445096,0.3181818181818182,0.03614457831325301,-3480.0,88,28,3
ADAPTIVE_90.0_SMOOTH_3_PERSIST_2,0.08556374907493591,3,2,0.811046511627907,0.15278253131631186,0.25712804561949193,0.05120252073948256,0.3181818181818182,0.03614457831325301,-3480.0,88,28,3
ADAPTIVE_90.0_SMOOTH_3_PERSIST_3,0.08556374907493591,3,3,0.8127453665662375,0.15233760010952152,0.25658245543241726,0.05048863944071093,0.3181818181818182,0.03614457831325301,-3420.0,88,28,3
ADAPTIVE_90.0_SMOOTH_3,0.08556374907493591,3,1,0.809291395516992,0.1532274625231022,0.25766906474820145,0.05194101863476356,0.3181818181818182,0.04819277108433735,-3540.0,88,28,4
ADAPTIVE_90.0%,0.08556374907493591,1,1,0.8084336259162067,0.15288520774864808,0.2571416236130499,0.05211333481032912,0.3181818181818182,0.04819277108433735,-3540.0,88,28,4
ADAPTIVE_90.0_SMOOTH_5_PERSIST_3,0.08556374907493591,5,3,0.8134620639402496,0.15283386953248,0.2573219044875027,0.050414789651182824,0.3068181818181818,0.03614457831325301,-3420.0,88,27,3
ADAPTIVE_95.0_SMOOTH_5,0.08829811215400696,5,1,0.8107714701601164,0.15250872749674857,0.25672639280981735,0.05120252073948256,0.2840909090909091,0.03614457831325301,-3540.0,88,25,3
ADAPTIVE_95.0_SMOOTH_3,0.08829811215400696,3,1,0.8107419208010924,0.15240605106441235,0.2565794212126014,0.05117790414297319,0.2840909090909091,0.03614457831325301,-3540.0,88,25,3
ADAPTIVE_95.0%,0.08829811215400696,1,1,0.8104831358249772,0.15214935998357176,0.2562026337780595,0.05117790414297319,0.2840909090909091,0.03614457831325301,-3540.0,88,25,3
ADAPTIVE_95.0_SMOOTH_5_PERSIST_2,0.08829811215400696,5,2,0.8121173352828293,0.15208090902868096,0.2561870306576918,0.05061172242325776,0.2840909090909091,0.03614457831325301,-3480.0,88,25,3
ADAPTIVE_97.0_SMOOTH_3,0.08975285291671753,3,1,0.8103967168262654,0.15206379628995825,0.2560770017723088,0.05117790414297319,0.2840909090909091,0.03614457831325301,-3540.0,88,25,3
ADAPTIVE_97.0_SMOOTH_5,0.08975285291671753,5,1,0.8103102189781022,0.15197823259634471,0.25595135166292005,0.05117790414297319,0.2840909090909091,0.03614457831325301,-3540.0,88,25,3
ADAPTIVE_95.0_SMOOTH_3_PERSIST_2,0.08829811215400696,3,2,0.8119853613906679,0.1518755561640085,0.2558890522734481,0.05058710582674839,0.2840909090909091,0.03614457831325301,-3480.0,88,25,3
ADAPTIVE_97.0%,0.08975285291671753,1,1,0.8101716581446311,0.15184133068656308,0.255750273822563,0.05117790414297319,0.2840909090909091,0.03614457831325301,-3540.0,88,25,3
ADAPTIVE_95.0_SMOOTH_5_PERSIST_3,0.08829811215400696,5,3,0.8134753075087204,0.15165309056061332,0.2556469061012549,0.05002092410703296,0.2840909090909091,0.03614457831325301,-3420.0,88,25,3
ADAPTIVE_97.0_SMOOTH_3_PERSIST_2,0.08975285291671753,3,2,0.8116406966086159,0.1515333013895544,0.2553860352435613,0.05058710582674839,0.2840909090909091,0.03614457831325301,-3480.0,88,25,3
ADAPTIVE_97.0_SMOOTH_5_PERSIST_2,0.08975285291671753,5,2,0.8116406966086159,0.1515333013895544,0.2553860352435613,0.05058710582674839,0.2840909090909091,0.03614457831325301,-3480.0,88,25,3
ADAPTIVE_95.0_SMOOTH_3_PERSIST_3,0.08829811215400696,3,3,0.8132585509378448,0.15136217400232732,0.25522276084949214,0.04999630751052359,0.2840909090909091,0.03614457831325301,-3420.0,88,25,3
ADAPTIVE_98.0%,0.09249535948038101,1,1,0.8096546670330677,0.1512594975699911,0.2548988508067423,0.051153287546463824,0.2840909090909091,0.03614457831325301,-3540.0,88,25,3
ADAPTIVE_97.0_SMOOTH_5_PERSIST_3,0.08975285291671753,5,3,0.8129834254143646,0.15108837018276405,0.2548199030247056,0.04999630751052359,0.2840909090909091,0.03614457831325301,-3420.0,88,25,3
ADAPTIVE_98.0_SMOOTH_3,0.09249535948038101,3,1,0.809532538955087,0.15113970839893218,0.2547226948922793,0.051153287546463824,0.2840909090909091,0.03614457831325301,-3540.0,88,25,3
ADAPTIVE_97.0_SMOOTH_3_PERSIST_3,0.08975285291671753,3,3,0.8128972823583602,0.15100280648915052,0.25469397180008946,0.04999630751052359,0.2840909090909091,0.03614457831325301,-3420.0,88,25,3
ADAPTIVE_98.0_SMOOTH_5,0.09249535948038101,5,1,0.8093010456796919,0.1509856937504278,0.2544924860826675,0.05117790414297319,0.2840909090909091,0.03614457831325301,-3540.0,88,25,3
ADAPTIVE_98.0_SMOOTH_3_PERSIST_2,0.09249535948038101,3,2,0.8107086904432771,0.1505407625436375,0.25392930852829537,0.050562489230239024,0.2840909090909091,0.03614457831325301,-3480.0,88,25,3
ADAPTIVE_98.0_SMOOTH_5_PERSIST_2,0.09249535948038101,5,2,0.8106165330384296,0.15052364980491478,0.25390044308456133,0.05058710582674839,0.2840909090909091,0.03614457831325301,-3480.0,88,25,3
ADAPTIVE_98.0_SMOOTH_5_PERSIST_3,0.09249535948038101,5,3,0.811979263099426,0.15009583133684715,0.2533579826107051,0.04999630751052359,0.2840909090909091,0.03614457831325301,-3420.0,88,25,3
ADAPTIVE_98.0_SMOOTH_3_PERSIST_3,0.09249535948038101,3,3,0.8119325551232166,0.14997604216578822,0.2531850353892821,0.04997169091401423,0.2840909090909091,0.03614457831325301,-3420.0,88,25,3
ADAPTIVE_99.0%,0.10081938654184341,1,1,0.8327522758086384,0.14715244027654187,0.2501090718710916,0.042512862171676144,0.2840909090909091,0.03614457831325301,-3540.0,88,25,3
ADAPTIVE_99.0_SMOOTH_3,0.10081938654184341,3,1,0.8324277120124199,0.14681018550208774,0.24959995344912858,0.042512862171676144,0.2840909090909091,0.03614457831325301,-3540.0,88,25,3
ADAPTIVE_99.0_SMOOTH_5,0.10081938654184341,5,1,0.8320521552982388,0.146331028817852,0.24889031187693741,0.042488245575166776,0.2840909090909091,0.03614457831325301,-3540.0,88,25,3
ADAPTIVE_99.0_SMOOTH_3_PERSIST_2,0.10081938654184341,3,2,0.8339026056406753,0.14622835238551576,0.24882430878092102,0.041897447258941976,0.2840909090909091,0.03614457831325301,-3480.0,88,25,3
ADAPTIVE_99.0_SMOOTH_5_PERSIST_2,0.10081938654184341,5,2,0.8336755646817249,0.14590321034978437,0.24834335814048322,0.041872830662432615,0.2840909090909091,0.03614457831325301,-3480.0,88,25,3
ADAPTIVE_99.0_SMOOTH_3_PERSIST_3,0.10081938654184341,3,3,0.8353933686482244,0.14573208296255732,0.24817135363543638,0.041306648942717177,0.2840909090909091,0.03614457831325301,-3420.0,88,25,3
