threshold,precision,recall,f1,fpr,tp,tn,fp,fn
0.001,0.12684894666069027,0.9786743515850144,0.2245883208782488,0.4152632700916649,1698,16458,11688,37
0.0015,0.2723149198120849,0.9688760806916427,0.42513909964592816,0.15959639025083494,1681,23654,4492,54
0.002,0.5487804878048781,0.9596541786743515,0.6982595932061229,0.04863923825765651,1665,26777,1369,70
0.0025,0.7826496935407826,0.9567723342939481,0.8609958506224067,0.016378881546223266,1660,27685,461,75
0.003,0.8511843460350155,0.9527377521613832,0.89910252923579,0.01026788886520287,1653,27857,289,82
0.0035,0.8677555321390937,0.9492795389048991,0.9066886870355079,0.008917785831023947,1647,27895,251,88
0.004,0.9256338028169014,0.9469740634005763,0.9361823361823362,0.004689831592411,1643,28014,132,92
0.0045,0.996962332928311,0.945821325648415,0.9707187222715173,0.00017764513607617424,1641,28141,5,94
0.005,1.0,0.9446685878962536,0.971547125074096,0.0,1639,28146,0,96
0.005179412059486259,1.0,0.9440922190201729,0.9712422176104358,0.0,1638,28146,0,97
0.0055,1.0,0.9435158501440922,0.9709371293001187,0.0,1637,28146,0,98
0.006,1.0,0.9423631123919308,0.9703264094955489,0.0,1635,28146,0,100
0.007,1.0,0.9394812680115274,0.9687964338781575,0.0,1630,28146,0,105
0.008,1.0,0.9360230547550432,0.9669544507293838,0.0,1624,28146,0,111
0.009,1.0,0.9354466858789625,0.9666468135795117,0.0,1623,28146,0,112
0.01,1.0,0.9342939481268011,0.966030989272944,0.0,1621,28146,0,114
0.012,1.0,0.930835734870317,0.9641791044776119,0.0,1615,28146,0,120
0.015,1.0,0.9273775216138328,0.9623205741626795,0.0,1609,28146,0,126
0.02,1.0,0.9221902017291066,0.95952023988006,0.0,1600,28146,0,135
0.025,1.0,0.9170028818443804,0.9567047504509922,0.0,1591,28146,0,144
0.03,1.0,0.9135446685878963,0.9548192771084337,0.0,1585,28146,0,150
0.04,1.0,0.9072046109510087,0.9513448171653067,0.0,1574,28146,0,161
0.05,1.0,0.9014409221902018,0.9481661109427099,0.0,1564,28146,0,171
0.075,1.0,0.8910662824207493,0.9423956110941786,0.0,1546,28146,0,189
0.1,1.0,0.882420749279539,0.9375382731169627,0.0,1531,28146,0,204
0.15,1.0,0.8697406340057637,0.9303329223181258,0.0,1509,28146,0,226
0.2,1.0,0.8599423631123919,0.9246978617911373,0.0,1492,28146,0,243
0.3,1.0,0.8432276657060519,0.9149468417761101,0.0,1463,28146,0,272
0.5,1.0,0.8184438040345822,0.9001584786053882,0.0,1420,28146,0,315
1.0,1.0,0.7763688760806916,0.8741077222582738,0.0,1347,28146,0,388
